id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
36218,boardgame,Dominion,2008,2,4,30,30,30,13,64998,7.65686,7.55888,84411,1768,565,6402,11782,4619,2.3661
30549,boardgame,Pandemic,2008,2,4,45,45,45,8,77521,7.64897,7.55549,113140,1884,624,7369,13332,4733,2.4247
127023,boardgame,Kemet,2012,2,5,120,90,120,13,12105,7.75828,7.53133,14401,182,1387,5839,2139,543,2.9926
521,boardgame,Crokinole,1876,2,4,30,30,30,8,8965,7.78198,7.5289,6660,45,609,3087,2229,544,1.2739
104162,boardgame,Descent: Journeys in the Dark (Second Edition),2012,2,5,120,120,120,14,18169,7.74482,7.51514,28810,647,749,5470,3160,971,3.2019
194655,boardgame,Santorini,2016,2,4,20,20,20,8,13682,7.73484,7.51308,22681,247,853,5138,2418,228,1.7807
198928,boardgame,Pandemic: Iberia,2016,2,5,45,45,45,8,5059,8.03067,7.51243,10322,132,301,1571,891,73,2.6438
34635,boardgame,Stone Age,2008,2,4,90,60,90,10,36098,7.61231,7.51045,38620,386,1627,8364,6704,2512,2.4952
224517,boardgame,Brass: Birmingham,2018,2,4,120,60,120,14,2200,8.67289,7.50745,6647,39,364,1766,729,140,3.8786
175155,boardgame,Forbidden Stars,2015,2,4,180,120,180,14,5540,8.00369,7.50642,9647,245,563,2568,1078,320,3.7844
161970,boardgame,Alchemists,2014,2,4,120,120,120,13,13465,7.71646,7.49847,17608,320,624,3728,2156,748,3.8409
9609,boardgame,War of the Ring (First Edition),2004,2,4,120,120,120,12,9328,7.78629,7.49836,11912,392,430,1938,2873,1366,3.8404
155426,boardgame,Castles of Mad King Ludwig,2014,1,4,90,90,90,13,17575,7.64701,7.48996,22900,377,1067,5296,2988,670,2.6627
146652,boardgame,Legendary Encounters: An Alien Deck Building Game,2014,1,5,60,30,60,17,8544,7.81443,7.4877,12432,251,567,2920,1561,355,2.7127
103343,boardgame,A Game of Thrones: The Board Game (Second Edition),2011,3,6,240,120,240,14,22385,7.67817,7.48363,29235,639,612,4619,3340,1266,3.6769
147020,boardgame,Star Realms,2014,2,2,20,20,20,12,25945,7.62111,7.48326,38752,520,319,2863,4319,1003,1.9671
128882,boardgame,The Resistance: Avalon,2012,5,10,30,30,30,13,20777,7.65093,7.48266,29193,474,294,2839,3170,766,1.7742
148949,boardgame,Istanbul,2014,2,5,60,40,60,10,17961,7.62429,7.47345,22678,257,899,3850,2761,757,2.5878
155068,boardgame,Arcadia Quest,2014,2,4,60,60,60,13,7235,7.86578,7.4702,11769,164,652,3349,1331,271,2.5129
70149,boardgame,Ora et Labora,2011,1,4,180,60,180,13,8545,7.73669,7.46531,10489,185,1049,3421,1637,587,3.9029
196340,boardgame,Yokohama,2016,2,4,90,90,90,14,4881,7.94721,7.46031,7522,75,570,1842,1022,166,3.3193
14996,boardgame,Ticket to Ride: Europe,2005,2,5,60,30,60,8,43951,7.5689,7.45646,58214,461,753,4756,7149,3058,1.9578
43111,boardgame,Chaos in the Old World,2009,3,4,120,60,120,13,12740,7.67129,7.45138,13486,276,777,3504,2733,843,3.1803
17133,boardgame,Railways of the World,2005,2,6,120,120,120,10,10167,7.68759,7.44979,10733,256,739,2944,3006,1313,3.0259
161533,boardgame,Lisboa,2017,1,4,120,60,120,12,3223,8.21047,7.44765,5872,54,577,2341,790,343,4.4985
123260,boardgame,Suburbia,2012,1,4,90,90,90,8,17953,7.58555,7.44761,21531,435,1056,5450,3229,820,2.7756
14105,boardgame,Commands & Colors: Ancients,2006,2,2,60,60,60,12,7248,7.78132,7.44682,9193,245,615,2471,2486,991,2.6963
182874,boardgame,Grand Austria Hotel,2015,2,4,120,60,120,12,7110,7.78908,7.43927,8963,124,721,2386,1309,331,3.2236
